optimizer,learning_rate,exponential_decay,num,epoch,ensemble,smape,mase*
rmsprop,0.0001,False,3,15,False,13.371003060689809,2.6882599377846685
rmsprop,0.0001,False,3,15,True,13.50639039435722,2.7410346946461694
rmsprop,0.0001,False,2,1,False,14.327238086880111,2.9972494396347673
rmsprop,0.0001,False,2,1,True,14.327238086880111,2.9972494396347673
rmsprop,0.0001,False,2,2,False,13.56727960319707,2.7755294750364095
rmsprop,0.0001,False,2,2,True,13.851697958536363,2.8673227693677106
rmsprop,0.0001,False,2,3,False,13.465224704544067,2.7314797433070788
rmsprop,0.0001,False,2,3,True,13.564044083725701,2.7742931116429106
rmsprop,0.0001,False,2,4,False,14.002949216659562,2.8022314264710384
rmsprop,0.0001,False,2,4,True,13.596823658266784,2.776947598858873
rmsprop,0.0001,False,2,5,False,14.94061195126281,3.0400556242529864
rmsprop,0.0001,False,2,5,True,13.790725967400675,2.817591525993026
rmsprop,0.0001,False,2,6,False,13.455943062718408,2.7161434972219674
rmsprop,0.0001,False,2,6,True,13.587158846963982,2.773014102921472
rmsprop,0.0001,False,2,7,False,13.638546462402644,2.7818064380977012
rmsprop,0.0001,False,2,7,True,13.601955591749263,2.775561957301563
rmsprop,0.0001,False,2,8,False,15.452660896137271,3.1113343909558875
rmsprop,0.0001,False,2,8,True,13.661040856798769,2.7896025060992953
rmsprop,0.0001,False,2,9,False,13.596916178902216,2.753319539027769
rmsprop,0.0001,False,2,9,True,13.593939797332657,2.772399473898102
rmsprop,0.0001,False,2,10,False,13.548136758284121,2.7269938418723334
rmsprop,0.0001,False,2,10,True,13.55958560528506,2.761009694296694
rmsprop,0.0001,False,2,11,False,14.02287417200742,2.8417166996491003
rmsprop,0.0001,False,2,11,True,13.59553035830182,2.7706167086204525
rmsprop,0.0001,False,2,12,False,13.654586866347813,2.7921558424706294
rmsprop,0.0001,False,2,12,True,13.584004866650728,2.7686087566974793
rmsprop,0.0001,False,2,13,False,13.499777521733334,2.729205449438766
rmsprop,0.0001,False,2,13,True,13.565332467271531,2.760728977963571
rmsprop,0.0001,False,2,14,False,13.728356889222628,2.757026270493416
rmsprop,0.0001,False,2,14,True,13.567977000040386,2.7599601495107517
rmsprop,0.0001,False,2,15,False,13.40360798876439,2.7196048907609813
rmsprop,0.0001,False,2,15,True,13.545328677760645,2.7537847559197717
rmsprop,0.0001,False,1,1,False,13.500899942506996,2.7066267565716364
rmsprop,0.0001,False,1,1,True,13.500899942506996,2.7066267565716364
rmsprop,0.0001,False,1,2,False,13.47906939251902,2.721003804361949
rmsprop,0.0001,False,1,2,True,13.439765053798126,2.70360777544923
rmsprop,0.0001,False,1,3,False,13.42560655714162,2.716741753520411
rmsprop,0.0001,False,1,3,True,13.43856948263309,2.714882223171359
rmsprop,0.0001,False,1,4,False,14.264248619312001,2.894330248802798
rmsprop,0.0001,False,1,4,True,13.454443172189741,2.718557173731455
rmsprop,0.0001,False,1,5,False,14.438311127567864,2.8905806318465683
rmsprop,0.0001,False,1,5,True,13.491973315506652,2.723887475353158
rmsprop,0.0001,False,1,6,False,13.571901932023861,2.7750418799352548
rmsprop,0.0001,False,1,6,True,13.473152634059327,2.730077571472964
rmsprop,0.0001,False,1,7,False,13.943927753059755,2.891179116098263
rmsprop,0.0001,False,1,7,True,13.526770434035708,2.7478954158694853
rmsprop,0.0001,False,1,8,False,15.23180839568887,3.053283382087561
rmsprop,0.0001,False,1,8,True,13.565628676035221,2.761833734918474
rmsprop,0.0001,False,1,9,False,13.593420820280707,2.7734024574678293
rmsprop,0.0001,False,1,9,True,13.55596361861217,2.75958692293082
rmsprop,0.0001,False,1,10,False,13.519884986671075,2.7375095141045365
rmsprop,0.0001,False,1,10,True,13.530465936417905,2.752549883829579
rmsprop,0.0001,False,1,11,False,13.871469360906236,2.796271306593734
rmsprop,0.0001,False,1,11,True,13.553271997322542,2.7566667116798276
rmsprop,0.0001,False,1,12,False,13.65301166845374,2.8060614899423157
rmsprop,0.0001,False,1,12,True,13.55043006769759,2.75988030957381
rmsprop,0.0001,False,1,13,False,13.56080956877355,2.7534432125810517
rmsprop,0.0001,False,1,13,True,13.54098972811666,2.75728144845126
rmsprop,0.0001,False,1,14,False,13.817849401728838,2.7981460685786237
rmsprop,0.0001,False,1,14,True,13.561410196554847,2.761336959798562
