input_len,n_samples,combinations,num,epoch,ensemble,smape,mase*
18,1400000,2,6,3,True,13.548897556701604,2.723648979650526
18,1400000,2,6,4,False,13.546304367414884,2.7252085677734454
18,1400000,2,6,4,True,13.527694687499508,2.720696651709008
18,1400000,2,6,5,False,13.522271923516875,2.733403890952161
18,1400000,2,6,5,True,13.521938131895539,2.7229274607306495
18,1400000,2,6,6,False,13.576400312569119,2.713330104655874
18,1400000,2,6,6,True,13.519226977960125,2.7192850958810504
18,1400000,2,6,7,False,13.584197060938752,2.7290945952927474
18,1400000,2,6,7,True,13.522740849505487,2.719151232266264
18,1400000,2,6,8,False,13.680820234636425,2.7636815013052254
18,1400000,2,6,8,True,13.53361355779075,2.7232380522583934
18,1400000,2,6,9,False,13.712174962713581,2.7636809123609423
18,1400000,2,6,9,True,13.5492773863814,2.7266959255855965
18,1400000,2,6,10,False,13.589038689756164,2.7367270576376885
18,1400000,2,6,10,True,13.548227731930844,2.726812138496076
18,1400000,2,6,11,False,13.613747762933944,2.7515114582854148
18,1400000,2,6,11,True,13.546934153007607,2.727797283650191
18,1400000,2,6,12,False,13.664791736447468,2.765331400204586
18,1400000,2,6,12,True,13.55113995126153,2.730088200261919
18,1400000,2,6,13,False,13.699919030365225,2.7638353489119316
18,1400000,2,6,13,True,13.561792416881497,2.7324628807607376
18,1400000,2,6,14,False,13.58028002102785,2.7151311828477116
18,1400000,2,6,14,True,13.558990450852994,2.730151147695064
18,1400000,2,6,15,False,13.628454149554825,2.737328310112798
18,1400000,2,6,15,True,13.560602579521264,2.7297869725914516
18,1400000,2,7,1,False,13.672692695951556,2.7385944744534343
18,1400000,2,7,1,True,13.672692695951556,2.7385944744534343
18,1400000,2,7,2,False,13.621804538210558,2.740841854129328
18,1400000,2,7,2,True,13.620689650078406,2.736176879850644
18,1400000,2,7,3,False,13.655607751570702,2.7433348434825113
18,1400000,2,7,3,True,13.61417086618138,2.7364864346439224
18,1400000,2,7,4,False,13.796813593716031,2.772738547797659
18,1400000,2,7,4,True,13.646331445547611,2.7421535856778974
18,1400000,2,7,5,False,13.591739872525835,2.721662873688259
18,1400000,2,7,5,True,13.621152895911464,2.7359197780265228
18,1400000,2,7,6,False,13.66507308961861,2.7502497713630727
18,1400000,2,7,6,True,13.620739275894639,2.7374492236037438
18,1400000,2,7,7,False,13.652672167877844,2.7602217600740997
18,1400000,2,7,7,True,13.612915363196347,2.738800233686029
18,1400000,2,7,8,False,13.580708967105233,2.7267931653625155
18,1400000,2,7,8,True,13.59905993741819,2.735351733229918
18,1400000,2,7,9,False,13.766027318461687,2.7753041612392026
18,1400000,2,7,9,True,13.60966732331529,2.7391498779680767
18,1400000,2,7,10,False,13.709983607935776,2.7569176248809115
18,1400000,2,7,10,True,13.617567491132766,2.7403542350674774
18,1400000,2,7,11,False,13.569568520581376,2.7250019416429314
18,1400000,2,7,11,True,13.607603715838515,2.7379084299090795
18,1400000,2,7,12,False,13.57451895317482,2.7344006600219704
18,1400000,2,7,12,True,13.599425095252652,2.7364681734962266
18,1400000,2,7,13,False,13.678342762751805,2.7331382485785505
18,1400000,2,7,13,True,13.602614666513704,2.7359126302864154
18,1400000,2,7,14,False,13.556688977017215,2.7194112917462916
18,1400000,2,7,14,True,13.595865072725212,2.7338837529300872
18,1400000,2,7,15,False,13.640556196189607,2.7399626628169105
