input_len,n_samples,combinations,num,epoch,ensemble,smape,mase*
18,1400000,2,6.0,7.0,1.0,13.351362520440954,2.716287345391553
18,1400000,2,6.0,8.0,0.0,13.477467805282636,2.7358337561050994
18,1400000,2,6.0,8.0,1.0,13.341986109041535,2.714619325732385
18,1400000,2,6.0,9.0,0.0,13.473139320666268,2.7229374485330804
18,1400000,2,6.0,9.0,1.0,13.32213804270739,2.710948976408264
18,1400000,2,6.0,10.0,0.0,13.533913488670294,2.7761036398499463
18,1400000,2,6.0,10.0,1.0,13.336568461658942,2.7173120822994674
18,1400000,2,6.0,11.0,0.0,13.286980975979002,2.6789282086159627
18,1400000,2,6.0,11.0,1.0,13.318754498921411,2.7108396378790283
18,1400000,2,6.0,12.0,0.0,13.471681106811971,2.7257686113250967
18,1400000,2,6.0,12.0,1.0,13.329139208061541,2.7125299772928804
18,1400000,2,6.0,13.0,0.0,13.501659498182693,2.7515227898651373
18,1400000,2,6.0,13.0,1.0,13.345395101444476,2.717192119440381
18,1400000,2,6.0,14.0,0.0,13.340428247678332,2.7081263494399885
18,1400000,2,6.0,14.0,1.0,13.332125175231814,2.7140676878147296
18,1400000,2,6.0,15.0,0.0,13.379747186162113,2.7113313126024403
18,1400000,2,6.0,15.0,1.0,13.322041678464208,2.71164307566557
18,1400000,2,7.0,1.0,0.0,13.38363191439346,2.7165940855578854
18,1400000,2,7.0,1.0,1.0,13.38363191439346,2.7165940855578854
18,1400000,2,7.0,2.0,0.0,13.588821466751122,2.780502181615021
18,1400000,2,7.0,2.0,1.0,13.464774371019828,2.743495610564103
18,1400000,2,7.0,3.0,0.0,13.533379129048905,2.767279481167796
18,1400000,2,7.0,3.0,1.0,13.471465793639405,2.747964633111253
18,1400000,2,7.0,4.0,0.0,13.6855385917279,2.788102006531964
18,1400000,2,7.0,4.0,1.0,13.485109118752694,2.7552600886410263
18,1400000,2,7.0,5.0,0.0,13.578956690709855,2.7743133981984065
18,1400000,2,7.0,5.0,1.0,13.461748802835336,2.752223445378327
18,1400000,2,7.0,6.0,0.0,13.431864945103516,2.7310979913657576
18,1400000,2,7.0,6.0,1.0,13.410220345566414,2.743861047393972
18,1400000,2,7.0,7.0,0.0,13.875778616036367,2.8211170108350814
18,1400000,2,7.0,7.0,1.0,13.467645870303441,2.754834597537139
18,1400000,2,7.0,8.0,0.0,13.404971952639155,2.7037560827079234
18,1400000,2,7.0,8.0,1.0,13.417718633167322,2.742954649848531
18,1400000,2,7.0,9.0,0.0,13.284996328987846,2.6789891228062856
18,1400000,2,7.0,9.0,1.0,13.38620517743289,2.7337201775785696
18,1400000,2,7.0,10.0,0.0,13.365013736420671,2.724262070279581
18,1400000,2,7.0,10.0,1.0,13.35433779731616,2.7267074965590767
18,1400000,2,7.0,11.0,0.0,13.425768615823117,2.7317789264788237
18,1400000,2,7.0,11.0,1.0,13.342680175832507,2.724765842269101
18,1400000,2,7.0,12.0,0.0,13.41577575070945,2.7186984135572527
18,1400000,2,7.0,12.0,1.0,13.332775333281978,2.721558393124272
18,1400000,2,7.0,13.0,0.0,13.47080907689041,2.7250470028049136
18,1400000,2,7.0,13.0,1.0,13.337163560701322,2.7205169227100465
