dataset,aug_perc,num,epoch,ensemble,smape,mase*
235k,0.25,2,14,True,13.277386722933572,2.7060820451157763
235k,0.25,2,15,False,13.158394561612255,2.680240528373044
235k,0.25,2,15,True,13.251117763132727,2.7012536722262737
235k,0.25,3,1,False,14.655075886151465,2.986216744528602
235k,0.25,3,1,True,14.655075886151465,2.986216744528602
235k,0.25,3,2,False,14.023363931459484,2.884811947280674
235k,0.25,3,2,True,14.092202865296821,2.904392009792579
235k,0.25,3,3,False,13.459761112431254,2.7217599106536174
235k,0.25,3,3,True,13.757106661724418,2.82817366287204
235k,0.25,3,4,False,13.763579106782652,2.728572218155971
235k,0.25,3,4,True,13.45086849535669,2.737155564447676
235k,0.25,3,5,False,13.364890583328549,2.716784992338053
235k,0.25,3,5,True,13.351933056718716,2.71362868200925
235k,0.25,3,6,False,13.368162637175661,2.702818913923686
235k,0.25,3,6,True,13.321246143738506,2.706596973262371
235k,0.25,3,7,False,13.359515714977979,2.705646817597827
235k,0.25,3,7,True,13.305188481230546,2.7025863296378674
235k,0.25,3,8,False,13.451733231805495,2.6911607790103806
235k,0.25,3,8,True,13.295122286425027,2.698820213031103
235k,0.25,3,9,False,13.263544331689376,2.6960539753281028
